# cuda_transfer_trace_v1 coverage=ordinary_backend_set_get_only timing=host_API_wall_not_DMA
id,context,request_id,seq_id,phase,pos_min,pos_max,backend_api,direction,tensor,offset_bytes,size_bytes,device,host_kind,pointer_status,start_monotonic_ns,copy_api_wall_ns,sync_api_wall_ns,copy_status,sync_status
150,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-19#0",0,512000,0,pageable,0,862942652198683,38622,16290,0,0
151,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-20 (reshaped)",0,51200,0,pageable,0,862942652521989,11700,350,0,0
152,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-20",0,8232,0,pageable,0,862942652537700,5490,230,0,0
153,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-20#0",0,512000,0,pageable,0,862942726106270,43532,15361,0,0
154,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-21 (reshaped)",0,51200,0,pageable,0,862942726437136,11951,370,0,0
155,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-21",0,8232,0,pageable,0,862942726453557,5850,250,0,0
156,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-21#0",0,512000,0,pageable,0,862942744363105,34072,12401,0,0
157,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-22 (reshaped)",0,51200,0,pageable,0,862942744673621,14761,350,0,0
158,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-22",0,8232,0,pageable,0,862942744692582,5350,240,0,0
159,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-22#0",0,512000,0,pageable,0,862942789309935,35672,15601,0,0
160,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-23 (reshaped)",0,51200,0,pageable,0,862942789678874,11460,390,0,0
161,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-23",0,8232,0,pageable,0,862942789695074,5941,230,0,0
162,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-23#0",0,512000,0,pageable,0,862942790662072,23522,15660,0,0
163,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-24 (reshaped)",0,51200,0,pageable,0,862942790935866,9121,290,0,0
164,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-24",0,8232,0,pageable,0,862942790947637,13780,250,0,0
165,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-24#0",0,512000,0,pageable,0,862942794064571,24851,16371,0,0
166,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-25 (reshaped)",0,51200,0,pageable,0,862942794345195,9361,250,0,0
167,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-25",0,8232,0,pageable,0,862942794357446,5210,230,0,0
168,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-25#0",0,512000,0,pageable,0,862942795349975,22211,16111,0,0
169,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-26 (reshaped)",0,51200,0,pageable,0,862942795621858,8561,250,0,0
170,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-26",0,8232,0,pageable,0,862942795634789,4970,240,0,0
171,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-26#0",0,512000,0,pageable,0,862942796881461,21711,16111,0,0
172,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-27 (reshaped)",0,51200,0,pageable,0,862942797191486,8431,250,0,0
173,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-27",0,8232,0,pageable,0,862942797202837,5190,230,0,0
174,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-27#0",0,512000,0,pageable,0,862942801026237,27421,15401,0,0
175,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-28 (reshaped)",0,51200,0,pageable,0,862942801312731,10250,370,0,0
176,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-28",0,8232,0,pageable,0,862942801326622,5300,230,0,0
177,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-28#0",0,512000,0,pageable,0,862942803494779,21441,16171,0,0
178,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-29 (reshaped)",0,51200,0,pageable,0,862942803763292,8361,260,0,0
179,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-29",0,8232,0,pageable,0,862942803774173,5030,250,0,0
180,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-29#0",0,512000,0,pageable,0,862942809201542,24752,17370,0,0
181,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-30 (reshaped)",0,51200,0,pageable,0,862942809481916,9291,290,0,0
182,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-30",0,8232,0,pageable,0,862942809494587,5260,230,0,0
183,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-30#0",0,512000,0,pageable,0,862942810693676,20361,16321,0,0
184,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-31 (reshaped)",0,51200,0,pageable,0,862942810999641,9791,250,0,0
