seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
84,216,1,63,blk.12.ffn_up_exps.weight,22,239,524800,125427200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,874720832
85,216,1,63,blk.12.ffn_up_exps.weight,22,242,524800,127001600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,876295232
86,216,1,63,blk.12.ffn_up_exps.weight,22,243,524800,127526400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,876820032
87,216,1,63,blk.12.ffn_up_exps.weight,22,246,524800,129100800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,878394432
88,216,1,63,blk.12.ffn_up_exps.weight,22,248,524800,130150400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,879444032
89,216,1,63,blk.12.ffn_up_exps.weight,22,251,524800,131724800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,881018432
90,216,1,63,blk.12.ffn_up_exps.weight,22,252,524800,132249600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,881543232
91,216,1,63,blk.12.ffn_up_exps.weight,22,258,524800,135398400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,884692032
92,216,1,63,blk.12.ffn_up_exps.weight,22,261,524800,136972800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,886266432
93,216,1,63,blk.12.ffn_up_exps.weight,22,264,524800,138547200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,887840832
94,216,1,63,blk.12.ffn_up_exps.weight,22,265,524800,139072000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,888365632
95,216,1,63,blk.12.ffn_up_exps.weight,22,266,524800,139596800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,888890432
96,216,1,63,blk.12.ffn_up_exps.weight,22,267,524800,140121600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,889415232
97,216,1,63,blk.12.ffn_up_exps.weight,22,269,524800,141171200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,890464832
98,216,1,63,blk.12.ffn_up_exps.weight,22,277,524800,145369600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,894663232
99,216,1,63,blk.12.ffn_up_exps.weight,22,278,524800,145894400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,895188032
100,216,1,63,blk.12.ffn_up_exps.weight,22,283,524800,148518400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,897812032
101,216,1,63,blk.12.ffn_up_exps.weight,22,284,524800,149043200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,898336832
102,216,1,63,blk.12.ffn_up_exps.weight,22,285,524800,149568000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,898861632
103,216,1,63,blk.12.ffn_up_exps.weight,22,286,524800,150092800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,899386432
104,216,1,63,blk.12.ffn_up_exps.weight,22,287,524800,150617600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,899911232
105,216,1,63,blk.12.ffn_up_exps.weight,22,288,524800,151142400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,900436032
106,216,1,63,blk.12.ffn_up_exps.weight,22,290,524800,152192000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,901485632
107,216,1,63,blk.12.ffn_up_exps.weight,22,294,524800,154291200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,903584832
108,216,1,63,blk.12.ffn_up_exps.weight,22,297,524800,155865600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,905159232
109,216,1,63,blk.12.ffn_up_exps.weight,22,298,524800,156390400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,905684032
